,hucid,states
13041,1606001511,"CA,NV"
13095,1605010104,CA
13099,1605030202,"CA,NV"
13102,1606001507,"CA,NV"
13153,1604020309,"CA,NV"
13156,1606001501,"CA,NV"
13160,1605010103,"CA,NV"
13161,1606001508,"CA,NV"
13162,1606001502,"CA,NV"
13174,1606001503,"CA,NV"
13201,1606001007,"CA,NV"
13206,1605030203,"CA,NV"
13213,1605030101,CA
13228,1606001010,"CA,NV"
13243,1604020405,"CA,NV"
13247,1606001512,"CA,NV"
13296,1606001013,"CA,NV"
13329,1606001510,"CA,NV"
13341,1605010101,"CA,NV"
13352,1605020101,CA
13361,1606001504,"CA,NV"
13363,1605010201,CA
13393,1604020406,"CA,NV"
13421,1606001505,"CA,NV"
13474,1605010205,"CA,NV"
13590,1710030901,"CA,OR"
13786,1712000703,"CA,OR"
13836,1710031202,"CA,OR"
14166,1710031103,"CA,OR"
14326,1710031206,"CA,OR"
14482,1710031101,"CA,OR"
14661,1710031203,"CA,OR"
14695,1712000701,"CA,NV,OR"
14889,1710031104,"CA,OR"
